confidence,accuracy
5.000000000000000278e-02,7.959999999999999298e-01
1.500000000000000222e-01,8.079999999999999405e-01
2.500000000000000000e-01,8.199999999999999512e-01
3.500000000000000333e-01,8.319999999999999618e-01
4.500000000000000111e-01,8.439999999999999725e-01
5.500000000000000444e-01,8.559999999999999831e-01
6.500000000000001332e-01,8.679999999999999938e-01
7.500000000000000000e-01,8.800000000000000044e-01
8.500000000000000888e-01,8.920000000000000151e-01
9.499999999999999556e-01,9.039999999999999147e-01
