Name,URL,Cost,Due date,Final deadline,Relevance,Publisher,Tags
"ICon-MaSTEd'2026: XVII International Conference on Mathematics, Science and Technology Education",https://icon-masted.easyscience.education/2026/,Free,10/1/2026 15:23,14/5/2026 15:23,1_High,IOP Publishing,Conference
"MS-AMLV 2026: 7th Masters Symposium on Advances in Data Mining, Machine Learning, and Computer Vision",https://apps.ucu.edu.ua/en/ms-amlv-2026/,Free,30/1/2026 16:35,27/3/2026 16:35,1_High,Springer.org,Conference
IntelITSIS'2026: 7th International Workshop on Intelligent Information Technologies & Systems of Information Security,http://kiis.khmnu.edu.ua/intelitsis-2026/,Free,20/2/2026 20:35,3/4/2026 20:43,1_High,CEUR.org,"Conference,Workshop"
MoMLeT&DS'2026: Modern Machine Learning Technology,https://momlet.in.ua/about-momlet/,Free,1/5/2026 15:17,6/6/2026 15:18,1_High,CEUR.org,"Conference,Workshop"
"DSMIE'2026: 9th International Conference on Design, Simulation, Manufacturing: The Innovation Exchange",https://dsmie.sumdu.edu.ua/,600 EUR,31/1/2026 15:32,2/6/2026 15:31,2_Mediocre,Springer.org,Conference
IST 2026: 3rd international scientific and practical conference «Information Systems and Technology: Results and Prospects»,https://ist.fit.knu.ua/scientificconference/konf2026,Free,1/3/2026 20:41,5/3/2026 20:41,2_Mediocre,NaN,Conference
FedCSIS'2025: 2025 IEEE 19th Conference on Computer Science and Intelligence Systems,https://2026.fedcsis.org/,300 EUR,15/4/2026 11:28,23/8/2026 11:30,2_Mediocre,IEEE.org,Conference
MEMSTECH'2024: 2025 IEEE 20th International Conference Perspective technologies and methods in MEMS design,https://memstech.ieee.org.ua/,250 EUR,15/3/2024 16:15,16/5/2024 16:15,3_Finished,IEEE.org,Conference
DAO-XAI 2024: Data meets Ontologies in Explainable AI 2024,https://sites.google.com/view/daoxai2024,NaN,30/5/2024 14:48,19/10/2024 14:47,3_Finished,CEUR.org,Workshop
IS'2024: 2024 12th IEEE International Conference on Intelligent Systems,https://www.ieee-is.org/,400 EUR,30/6/2024 15:04,29/8/2024 15:04,3_Finished,IEEE.org,Conference
ProfIT AI 2024: 4th International Workshop of IT-professionals on Artificial Intelligence,https://khai.edu/ua/nauka/konferentsiyi/naukovi-konferencii-hai/profit-ai/,Free,10/8/2024 09:51,25/9/2024 09:51,3_Finished,CEUR.org,Workshop
ATIT'2024: 2024 IEEE 5th International Conference on Advanced Trends in Information Theory,https://atit.ieee.org.ua/,Free,10/8/2024 22:15,10/8/2024 22:16,3_Finished,IEEE.org,Conference
BAIT-2024: The 1st International Workshop on Bioinformatics and Applied Information Technologies 2024,https://bait.tntu.edu.ua/,Free,16/8/2024 13:19,2/10/2024 13:19,3_Finished,CEUR.org,Workshop
DTER-2024: 1st International Workshop on Digital Technologies for Enhancing Resilience,https://science.lpnu.ua/dter-2024,500 EUR,16/8/2024 18:19,28/10/2024 18:19,3_Finished,Elsevier,Conference
CSIT'2024: IEEE 19th International Conference on Computer Science and Information Technologies,https://csit.ieee.org.ua/,Free,25/8/2024 15:52,16/10/2024 17:33,3_Finished,IEEE.org,Conference
"ITTAP'2024: 4th International Workshop on
Information Technologies:
Theoretical and Applied Problems",https://ittap.tntu.edu.ua/,Free,26/8/2024 12:10,23/10/2024 18:18,3_Finished,CEUR.org,"Conference,Workshop"
"DESSERT'2024: 14th International IEEE Conference Dependable Systems, Services, and Technologies",https://www.dessert-conf.org/dessert-2024/,900 UAH,27/8/2024 15:30,11/10/2024 22:36,3_Finished,IEEE.org,Conference
AISTDS 2024: Applied Information Systems and Technologies in the Digital Society,https://aistis.knu.ua/,200 UAH,1/9/2024 19:14,1/10/2024 19:13,3_Finished,CEUR.org,Workshop
