Name,Links,URL,Cost,Due date,Final deadline,Relevance,Publisher,Tags,Created time,Description,Attachment,To-do-list,Checkbox
"ICon-MaSTEd'2026: XVII International Conference on Mathematics, Science and Technology Education",- ICon-MaSTEd'2026: Website,https://icon-masted.easyscience.education/2026/,Free,10/1/2026 15:23,14/5/2026 15:23,1_High,IOP Publishing,Conference,18/6/2022 15:21,"18-20 MAY, 2022 / KRYVYI RIH, UKRAINE
XIV INTERNATIONAL CONFERENCE ON MATHEMATICS, SCIENCE AND TECHNOLOGY EDUCATION",,,
"MS-AMLV 2026: 7th Masters Symposium on Advances in Data Mining, Machine Learning, and Computer Vision",- MS-AMLV 2026: Website,https://apps.ucu.edu.ua/en/ms-amlv-2026/,Free,30/1/2026 16:35,27/3/2026 16:35,1_High,Springer.org,Conference,25/2/2025 16:33,,,,
IntelITSIS'2026: 7th International Workshop on Intelligent Information Technologies & Systems of Information Security,- IntelITSIS'2026: Website,http://kiis.khmnu.edu.ua/intelitsis-2026/,Free,20/2/2026 20:35,3/4/2026 20:43,1_High,CEUR.org,"Conference,Workshop",12/1/2021 20:35,,,,
MoMLeT&DS'2026: Modern Machine Learning Technology,"- MoMLeT&DS'2026: Website
- MoMLeT&DS'2026: EasyChair",https://momlet.in.ua/about-momlet/,Free,1/5/2026 15:17,6/6/2026 15:18,1_High,CEUR.org,"Conference,Workshop",26/3/2021 15:15,,,,
"DSMIE'2026: 9th International Conference on Design, Simulation, Manufacturing: The Innovation Exchange",- DSMIE'2026: Website,https://dsmie.sumdu.edu.ua/,600 EUR,31/1/2026 15:32,2/6/2026 15:31,2_Mediocre,Springer.org,Conference,18/6/2022 15:29,DSMIE Conference Series is the international forum for fundamental and applied research and industrial applications in engineering. ,,,
IST 2026: 3rd international scientific and practical conference «Information Systems and Technology: Results and Prospects»,"- IST 2026: Website
- IST 2026: CAP",https://ist.fit.knu.ua/scientificconference/konf2026,Free,1/3/2026 20:41,5/3/2026 20:41,2_Mediocre,NaN,Conference,26/1/2025 20:37,,,,
FedCSIS'2025: 2025 IEEE 19th Conference on Computer Science and Intelligence Systems,"- FedCSIS'2026: Website
",https://2026.fedcsis.org/,300 EUR,15/4/2026 11:28,23/8/2026 11:30,2_Mediocre,IEEE.org,Conference,20/6/2022 11:27,"FedCSIS is indexed in all major indexing databases: Web of Science (since 2012), SCOPUS (since 2011), DBLP (since 2011). FedCSIS is ranked B in CORE.
In Computer Science conferences ranking prepared for 2012-2016 based on Google Scholar Metrics for 2000 conferences FedCSIS is placed on position 216, and is in the first quartile (Q1).",,,
MEMSTECH'2024: 2025 IEEE 20th International Conference Perspective technologies and methods in MEMS design,- MEMS'2024: Website,https://memstech.ieee.org.ua/,250 EUR,15/3/2024 16:15,16/5/2024 16:15,3_Finished,IEEE.org,Conference,6/8/2022 16:12,,,,
DAO-XAI 2024: Data meets Ontologies in Explainable AI 2024,- DAO-XAI 2024: Website,https://sites.google.com/view/daoxai2024,NaN,30/5/2024 14:48,19/10/2024 14:47,3_Finished,CEUR.org,Workshop,7/3/2025 14:46,,,,
IS'2024: 2024 12th IEEE International Conference on Intelligent Systems,- IS'2024: Website,https://www.ieee-is.org/,400 EUR,30/6/2024 15:04,29/8/2024 15:04,3_Finished,IEEE.org,Conference,23/2/2024 15:03,,,,
ProfIT AI 2024: 4th International Workshop of IT-professionals on Artificial Intelligence,"- ProfIT AI 2024: Website
",https://khai.edu/ua/nauka/konferentsiyi/naukovi-konferencii-hai/profit-ai/,Free,10/8/2024 09:51,25/9/2024 09:51,3_Finished,CEUR.org,Workshop,24/6/2024 09:43,,ProfIT2024.docx (https://v5.airtableusercontent.com/v3/u/49/49/1769263200000/QxPFOs9MeL8s9TO7TOuupA/p6pXAURvEsT4JF7ndm_FjjXc21AtGafQoQbgnzPMCaqlCOqlhdPH6uZepaXqRFja3Wn9zJ1NLHpnZG0scFHIN9FAVgA2RsK7Zdyipj1C6hCUwhdOTzNNrExdFlNqX52uT9d7DUPN9rASw7xZMwuDObvb24CYF7E338ScC428rDI/AJf_tjI1dhzXsYJvDkkJF-9BRdq7kIrNCiNvM8-c-Qo),,
ATIT'2024: 2024 IEEE 5th International Conference on Advanced Trends in Information Theory,- ATIT'2024: Website,https://atit.ieee.org.ua/,Free,10/8/2024 22:15,10/8/2024 22:16,3_Finished,IEEE.org,Conference,2/1/2023 22:14,,,,
BAIT-2024: The 1st International Workshop on Bioinformatics and Applied Information Technologies 2024,- BAIT-2024: Website,https://bait.tntu.edu.ua/,Free,16/8/2024 13:19,2/10/2024 13:19,3_Finished,CEUR.org,Workshop,24/11/2024 13:18,,,,
DTER-2024: 1st International Workshop on Digital Technologies for Enhancing Resilience,- DTER-2024: Website,https://science.lpnu.ua/dter-2024,500 EUR,16/8/2024 18:19,28/10/2024 18:19,3_Finished,Elsevier,Conference,9/1/2025 18:18,,,,
CSIT'2024: IEEE 19th International Conference on Computer Science and Information Technologies,"- CSIT'2024: Website
- CSIT'2024: Facebook",https://csit.ieee.org.ua/,Free,25/8/2024 15:52,16/10/2024 17:33,3_Finished,IEEE.org,Conference,13/5/2020 15:51,,,https://ieeexplore.ieee.org/document/9648832,
"ITTAP'2024: 4th International Workshop on
Information Technologies:
Theoretical and Applied Problems","- ITTAP'2024: Website
- ITTAP'2024: EasyChair",https://ittap.tntu.edu.ua/,Free,26/8/2024 12:10,23/10/2024 18:18,3_Finished,CEUR.org,"Conference,Workshop",29/7/2021 12:09,,,,
"DESSERT'2024: 14th International IEEE Conference Dependable Systems, Services, and Technologies",- DESSERT'2024: Website,https://www.dessert-conf.org/dessert-2024/,900 UAH,27/8/2024 15:30,11/10/2024 22:36,3_Finished,IEEE.org,Conference,13/5/2020 15:29,,,,
AISTDS 2024: Applied Information Systems and Technologies in the Digital Society,- AISTDS 2024: Website,https://aistis.knu.ua/,200 UAH,1/9/2024 19:14,1/10/2024 19:13,3_Finished,CEUR.org,Workshop,14/3/2025 19:08,,,,
CIAW 2024: Computational Intelligence Application Workshop 2024,- CIAW 2024: Website,https://science.lpnu.ua/ciss-2024/computational-intelligence-application-workshop,Free,10/9/2024 12:45,10/10/2024 12:45,3_Finished,CEUR.org,Workshop,30/12/2024 12:43,,,,
CISS-2024: 1st International Scientific and Practical Conference “Сomputational Intelligence and Smart Systems”,- CISS-2024: Website,https://science.lpnu.ua/ciss-2024,Free,20/9/2024 18:02,10/10/2024 18:02,3_Finished,CEUR.org,"Workshop,Conference",9/1/2025 18:01,,,,
CSITIC-2024: 7th International Scientific and Technical Conference COMPUTER AND INFORMATIONAL SYSTEMS AND TECHNOLOGIES,- CSITIC-2024: Website,http://csitic.com/about-conference-2024-ua.html,100 UAH,21/9/2024 15:10,26/9/2024 15:11,3_Finished,NaN,Conference,26/3/2021 15:09,,,,
XAI.it 2024: Italian Workshop on Explainable Artificial Intelligence 2024,"- XAI.it 2024: Website
- XAI.it 2024: EasyChair",https://xai-it.github.io/call.html,NaN,29/9/2024 13:25,26/11/2024 13:25,3_Finished,CEUR.org,Workshop,24/11/2024 13:22,,,,
"BEWARE 2024: Bias, Risk, Explainability, Ethical AI and the role of Logic and Logic Programming 2024",- BEWARE 2024: Website,https://sites.google.com/view/beware2024,NaN,30/9/2024 13:51,25/11/2024 13:52,3_Finished,CEUR.org,Workshop,17/1/2025 13:50,,,,
HC@AIxIA 2024: 3rd AIxIA Workshop on Artificial Intelligence For Healthcare ,- HC@AIxIA 2024: Website,https://sites.google.com/unical.it/hcaixia2024/home?authuser=0,NaN,30/9/2024 15:11,27/11/2024 15:12,3_Finished,CEUR.org,"Conference,Workshop",13/11/2024 15:07,,,,
IDDM'2024: 7th International Conference on Informatics & Data-Driven Medicine,"- IDDM'2024: Website
- IDDM'2024: Submission
",https://science.lpnu.ua/iddm-2024/submission,Free,1/10/2024 12:36,14/11/2024 12:39,3_Finished,CEUR.org,"Conference,Workshop",25/7/2021 12:35,,,,
ADP 2024: Algorithms of Data Processing 2024,- ADP 2024: Website,https://www.ans.nau.edu.ua/adp/,Free,1/10/2024 13:42,20/10/2024 13:43,3_Finished,CEUR.org,,17/1/2025 13:42,,,,
IT&I'2024: Information Technology and Implementation,"- IT&I'2024: Website
- IT&I'2024: Submission
- IT&I'2024: Facebook
",https://www.facebook.com/photo/?fbid=10223236745098691&set=gm.3301062060197675&idorvanity=2568037013500187,Free,1/10/2024 20:33,21/11/2024 20:33,3_Finished,CEUR.org,"Conference,Workshop",14/10/2021 20:30,,IT&I'2024.jpg (https://v5.airtableusercontent.com/v3/u/49/49/1769263200000/q6drIO_UiOhF_X-xFaFnQw/zCrGVHsz5DVWk6KAlIS6kOgGxAxR8ZbDNqzgL2BDi18rnFpzkbiPuxvDSDNM2ijgQYkxHuPlu_5nYJ63jnv35f2DcbA1dn8WnBi9spIzdRbMQ2U2SLiXA-WvTH1UJiPkD7dgY8Us1yYFZFCZiIsIDaswzOis8yeFaLZ9BKQwnd8/b-qZkKfZxdq2cOiteokRSHwIITcYFwyUKI8R2z117_Y),,
CPITS-II 2024: Cybersecurity Providing in Information and Telecommunication Systems II 2024,- CPITS-II 2024: Website,https://cpits.kubg.edu.ua/,Free,4/10/2024 18:48,26/10/2024 18:48,3_Finished,CEUR.org,"Conference,Workshop",12/11/2024 18:47,,,,
RECI'2024: The 3rd International Workshop on Reliability Engineering and Computational Intelligence,"- RECI'2024: Website
- RECI'2024: Call for paper",https://reci.fri.uniza.sk/,"Free - online
200 EUR - in-person",6/10/2024 21:16,6/11/2024 21:18,3_Finished,Springer.org,"Conference,Workshop",16/6/2022 21:15,"The workshop RECI 2022 will be a hybrid event: we facilitate contributions in-person and online from Delft University of Technology. The organizers believe that the 200 Euro fee for in-person should not be prohibitive for in-person participation. Online participation will be free of charge. TUDelft hosts the event at the event location ‘X’ on Mekelweg 8, 2628 CD, Delft, the Netherlands",RECI-2022.pdf (https://v5.airtableusercontent.com/v3/u/49/49/1769263200000/rsZgUDVIqdmlRxg6ddav7g/YsJYOZDHiaiT_wwmEl23N-sdEWmFlMuVWYAo4dPT_jII8caAdSBk4LTxMDJG7YBoAr6pRgdA_h7YTdlmUgkrFDMqmTweLJsl7y1BKyQlUsHero30yV9tJopYG6I9CZDPSz-UYf32dLrX6WmWC8IS-A/lduXhbr8Zv4akuu78p8VnG1ll67nFwkgjGoTcddnKiA),,
HCI-SI 2024: Human-Computer Interaction Slovenia,- HCI-SI 2024: Website,https://ceur-ws.org/Vol-3866/,Free,13/10/2024 14:43,8/11/2024 14:43,3_Finished,CEUR.org,Conference,7/3/2025 14:42,,,,
AdvAIT-2024: 1st International Workshop on Advanced Applied Information Technologies,- AdvAIT-2024: Website,http://kiis.khmnu.edu.ua/advait-2024/,Free,20/10/2024 17:12,29/11/2024 17:12,3_Finished,CEUR.org,"Conference,Workshop",13/9/2024 17:11,,,,
"ITS-2024: XXIV International Scientific and Practical Conference ""Information Technologies and Security""",- ITS-2024: Website,https://its.ipri.kiev.ua/#place,Nan,31/10/2024 13:48,19/12/2024 13:46,3_Finished,CEUR.org,Workshop,17/1/2025 13:45,,,,
C&D'2024: 4TH INTERNATIONAL ONLINE CONFERENCE ‘CORPORA AND DISCOURSE’,- C&D'2024: Website,https://corpora.kamts1.kpi.ua/cad,NaN,11/11/2024 10:52,26/11/2024 13:16,3_Finished,NaN,Conference,19/6/2022 13:15,,,,
WDA 2025: Workshop on Data Analytics 2025,- WDA 2025: Website,https://www.ans.nau.edu.ua/wda/,Free,25/11/2024 14:37,6/1/2025 14:38,3_Finished,CEUR.org,Workshop,7/3/2025 14:36,,,,
ICTM'2024: Integrated Computer Technologies in Mechanical Engineering – Synergetic Engineering,"- ICTM'2024: Website
- ICTM'2024: EasyChair",https://ictm.khai.edu/,NaN,25/11/2024 17:06,5/12/2024 17:06,3_Finished,Springer.org,"Conference,Workshop",6/8/2022 17:04,https://link.springer.com/book/10.1007/978-3-030-94259-5,,,
BESD-2025: International Scientific and Practical Conference Business Ecosystems: Sustainable Development 2025,- BESD-2025: Website,https://be-sd.org/,Free,20/1/2025 16:31,3/2/2025 16:31,3_Finished,Springer.org,Conference,25/2/2025 16:30,,,,
STE(A)M 2025: 4th Yurii Ramskyi STE(A)M Workshop,'- STE(A)M 2025: Website,https://stem.easyscience.education/2025/,Free,20/1/2025 16:38,14/5/2025 16:38,3_Finished,CEUR.org,Workshop,25/2/2025 16:37,,,,
"ICSF'2025: The 6th International Conference on Sustainable Futures: Environmental, Technological, Social and Economic Matters","- ICSF'2025: Website
",https://icsf.easyscience.education/2025/,Free,31/1/2025 11:45,21/5/2025 17:42,3_Finished,IOP Publishing,Conference,27/5/2020 11:44,"The International Conference on Sustainable Futures: Environmental, Technological, Social and Economic Matters (ICSF) is a peer-reviewed international conference, which is the premier interdisciplinary forum for social scientists, life scientists, engineers, and practitioners to present their latest research results, ideas, developments, and applications. 
Kryvyi Rih, Ukraine, 24-27 May 2022",,,
SCIA 2025: Scandinavian Conference on Image Analysis 2025,- SCIA 2025: Website,https://scia2025.org/dates/,NaN,27/2/2025 12:15,23/6/2025 12:15,3_Finished,Springer.org,Conference,17/1/2025 12:14,,,,
DECaT-2025: Digital Economy Concepts and Technologies Workshop,- DECaT-2025: Website,"https://decat.eae.com.ua/#:~:text=The%20aim%20of%20Digital%20economy,advanced%20information%20systems%20and%20technologies",Free,8/3/2025 14:52,3/4/2025 14:52,3_Finished,CEUR.org,Workshop,13/11/2024 14:50,,,,
SMARTINDUSTRY'2025: 2nd International Conference on Smart Automation & Robotics for Future Industry,- SMARTINDUSTRY'2025: Website,https://science.lpnu.ua/smartindustry-2025,Free,8/3/2025 17:44,3/4/2025 17:45,3_Finished,CEUR.org,Conference,20/6/2024 17:43,,,,
AISD 2025: The Second International Workshop of Young Scientists on Artificial Intelligence for Sustainable Development,- AISD-2025: Website,https://aisd.wunu.edu.ua/,NaN,14/3/2025 19:09,8/5/2025 19:09,3_Finished,CEUR.org,Workshop,12/11/2024 19:07,,,,
CoLInS'2025: IX International Conference Computational Linguistics and Intelligent Systems,"- CoLInS'2025: Website
- CoLInS'2025: EasyChair",http://colins.in.ua/,Free,15/3/2025 21:02,15/5/2025 21:10,3_Finished,CEUR.org,"Conference,Workshop",12/1/2021 20:58,The main purpose of the CoLInS conference is a discussion of the recent researches results in all areas of Natural Language Processing and Intelligent Systems.,,,
ESS'2025: 2025 IEEE International Conference on Energy Smart Systems (ESS),- ESS'2025: Website,https://ess.ieee.org.ua/,Free,17/3/2025 15:05,25/9/2025 15:06,3_Finished,IEEE.org,Conference,18/6/2022 15:04,,,,
CMIS'2025: The Eighth International Workshop on Computer Modeling and Intelligent Systems,"- CMIS'2025: Website
- CMIS'2025: Submission",https://www.facebook.com/groups/cmis.workshop,Free,24/3/2025 21:20,5/5/2025 21:32,3_Finished,CEUR.org,"Conference,Workshop",12/1/2021 21:17,"CMIS-2022: The Fifth International Workshop on Computer Modeling and Intelligent Systems (CMIS-2021): National University ""Zaporizhzhia Polytechnic"", Zaporizhzhia, Ukraine, May 12, 2022",471979795_8873879609369608_7564341903243679461_n.jpg (https://v5.airtableusercontent.com/v3/u/49/49/1769263200000/O2BjO2dqhTokMoGi92PEqg/nt8twS9Ze1_narVCW8guTpFxhu36c7qrlFWLeRz8WfNDPGcLLyDlrBgB24PnO_C9KqbJdPzcGtHw3hGYO9JlluikRHT2qt1Ts8VwPwTBrv1CUMaYhHZG1rmAGK7tUxfdR0kYvcfzjMIBtmlRNWvWY_x3VEwOtaIcLAIa1z1_dYpgOpvk439MsBAM9MYOtJTW3uKG54R_bpwxFJ1APjy4pA/oQbz1DS7MD28papsx9MejLQreAMQi2JirD4tCboq3Uo),,
AREdu 2025: The 8th International Workshop on Augmented Reality in Education,- AREdu 2025: Website,https://aredu.easyscience.education/aredu2025/,NaN,10/4/2025 13:57,13/5/2025 13:57,3_Finished,CEUR.org,Workshop,17/1/2025 13:54,,,,
UkrPROG'2025: The 15th International Scientific and Practical Conference on Programming,- UkrPROG'2025: Website,https://iss.nas.gov.ua/event/cotirnadcyata-miznarodna-naukovo-prakticna-konferenciya-z-programuvannya-18,900 грн + 100 грн за кожну сторінку понад 9 сторінок,11/4/2025 10:51,13/5/2025 10:51,3_Finished,CEUR.org,Conference,20/6/2022 10:50,,,,
IntSol'2025: IV International Scientific Symposium “Intelligent Solutions”,- IntSol'2025: Website,https://intsol.knu.ua/,700 UAH,13/4/2025 11:04,1/5/2025 11:04,3_Finished,CEUR.org,Workshop,20/6/2022 11:02,"We are pleased to invite you to the II International Scientific Symposium “Intelligent Solutions” (IntSol-2021) that will be held on September 28-30, 2021.
The main goal of the “Intelligent Solutions” Symposium is to present and discus the recent research in all areas of decision-making theory and computational intelligence technologies. The X International School-Seminar «Decision-Making Theory» and the VI International Conference «Computational Intelligence (Results, Problems and Perspectives)» are to be held within the framework of Symposium.",,,
CMSE 2024: Computational Methods in Systems Engineering 2024,- CMSE 2024: Website,https://ans.nau.edu.ua/cmse/,Free,14/4/2025 19:05,17/6/2024 19:05,3_Finished,CEUR.org,Workshop,12/11/2024 19:04,,,,
UNLP'2025: 4th Ukrainian Natural Language Processing Workshop,"- UNLP'2025: Website
- UNLP'2025: EasyChair",https://unlp.org.ua/,Free,20/4/2025 20:36,31/7/2025 20:40,3_Finished,CEUR.org,"Conference,Workshop",8/4/2021 20:35,,,,
ISDMCI'2025: Intellectual Decision-Making Systems and Problems of Computational Intelligence - International Scientific Conference,"- ISDMCI'2025: Website
- ISDMCI'2025: Publication",https://www.isdmci.ks.ua/?fbclid=IwAR1IQgu3SXkbVLeO1wkHzPUDnAD6Q3s6m_CJ2ZKDktiB8WtB1VQDwO8rIyQ,20 EUR,30/4/2025 18:00,19/6/2025 14:50,3_Finished,Springer.org,Conference,1/3/2021 21:57,,,https://link.springer.com/conference/isdmci,
ITEP-2025: 2nd International Conference on Information Technologies in the Environmental Protection,- ITEP-2025: Website,https://science.lpnu.ua/itep-2025,Free,1/5/2025 14:16,15/5/2025 14:16,3_Finished,NaN,Workshop,7/3/2025 14:15,,,,
"CITI-2025: The 3rd International Workshop on
“Computer Information Technologies in Industry 4.0”","- CITI-2025: Website
- CITI-2025: EasyChair",https://citi.tntu.edu.ua/,Free,1/5/2025 19:01,11/6/2025 19:01,3_Finished,CEUR.org,Workshop,12/11/2024 18:59,,,,
ACIT'2025: 2025 IEEE 15th International Conference on Advanced Computer Information Technologies,- ACIT'2025: Website,https://acit.tech/index.php/call-for-papers,Free,6/5/2025 16:33,17/9/2025 17:12,3_Finished,IEEE.org,Conference,13/5/2020 16:32,,,,
EXPLIMED 2025: Explainable Artificial Intelligence for the Medical Domain,- EXPLIMED 2025: Website,https://sites.google.com/view/explimed-2025/home-page,655 EUR,10/5/2025 14:49,25/10/2025 14:49,3_Finished,CEUR.org,Workshop,7/3/2025 14:48,,,,
ATRIC-2025: International Conference on Advanced Trends in Radioelectronics and Infocommunications ,- ATRIC-2025: Website,https://science.lpnu.ua/atric-2025,Free,10/5/2025 18:40,21/5/2025 18:40,3_Finished,NaN,Workshop,1/5/2025 18:39,,,,
