Name,Links,URL,Cost,Due date,Final deadline,Relevance,Publisher,Tags,Created time,Attachment
IntelITSIS'2026: 7th International Workshop on Intelligent Information Technologies & Systems of Information Security,- IntelITSIS'2026: Website,http://kiis.khmnu.edu.ua/intelitsis-2026/,Free,20/2/2026 20:35,3/4/2026 20:43,1_High,CEUR.org,"Conference,Workshop",12/1/2021 20:35,
IST 2026: 3rd international scientific and practical conference «Information Systems and Technology: Results and Prospects»,"- IST 2026: Website
- IST 2026: CAP",https://ist.fit.knu.ua/scientificconference/konf2026,Free,1/3/2026 20:41,5/3/2026 20:41,1_High,NaN,Conference,26/1/2025 20:37,
CoLInS'2026: 10th International Conference on Computational Linguistics and Intelligent Systems,- CoLInS'2026: Website,http://colins.in.ua/,Free,15/3/2026 21:02,17/4/2026 21:10,1_High,CEUR.org,"Conference,Workshop",12/1/2021 20:58,
CMIS-2026: The Ninth International Workshop on Computer Modeling and Intelligent Systems,"- CMIS-2026: Website
- CMIS-2026: Submission",https://www.facebook.com/groups/cmis.workshop,Free,22/3/2026 21:20,5/5/2026 21:32,1_High,CEUR.org,"Conference,Workshop",12/1/2021 21:17,
AISD 2026: The Third International Workshop of Young Scientists on Artificial Intelligence for Sustainable Development,- AISD-2026: Website,https://aisd.wunu.edu.ua/,NaN,27/3/2026 19:09,7/5/2026 19:09,1_High,CEUR.org,Workshop,12/11/2024 19:07,
ACIT'2026: 2026 IEEE 16th International Conference on Advanced Computer Information Technologies,- ACIT'2026: Website,https://acit.tech/index.php/call-for-papers,Free,5/4/2026 16:33,30/6/2026 17:12,1_High,IEEE.org,Conference,13/5/2020 16:32,
"ICon-MaSTEd'2026: XVII International Conference on Mathematics, Science and Technology Education",- ICon-MaSTEd'2026: Website,https://icon-masted.easyscience.education/2026/,Free,11/4/2026 15:23,14/5/2026 15:23,1_High,IOP Publishing,Conference,18/6/2022 15:21,
STE(A)M 2026: 5th Yurii Ramskyi STE(A)M Workshop,'- STE(A)M 2026: Website,https://stem.easyscience.education/2026/,Free,11/4/2026 16:38,13/5/2026 16:38,1_High,CEUR.org,Workshop,25/2/2025 16:37,
MoMLeT&DS'2026: Modern Machine Learning Technology,"- MoMLeT&DS'2026: Website
- MoMLeT&DS'2026: EasyChair",https://momlet.in.ua/about-momlet/,Free,1/5/2026 15:17,6/6/2026 15:18,1_High,CEUR.org,"Conference,Workshop",26/3/2021 15:15,
Synergy in Terra – 2026: International Conference “Synergy in Terra – 2026”,- Synergy in Terra – 2026: Website,https://science.lpnu.ua/synergy-terra,500 UAH,15/5/2026 16:42,12/6/2026 16:42,1_High,Academic Journal,Conference,25/2/2025 16:40,
KhPIW'2026: 2026 IEEE 6th KhPI Week on Advanced Technology,- KhPIW'2026: Website,https://khpiweek.ieee.org.ua/,Free,31/5/2026 15:08,5/10/2026 15:09,1_High,IEEE.org,Conference,18/6/2022 15:07,
DigiTransfEd 2026: 5th Workshop on Digital Transformation of Education,- DigiTransfEd 2026: Website,https://digitransfed.ztu.edu.ua/,Free,1/7/2026 15:03,1/9/2026 15:03,1_High,CEUR.org,Workshop,13/11/2024 15:01,
ESS'2026: 2026 IEEE International Conference on Energy Smart Systems (ESS),- ESS'2026: Website,https://ess.ieee.org.ua/,Free,30/11/2025 15:05,21/4/2026 15:06,2_Mediocre,IEEE.org,Conference,18/6/2022 15:04,
"DSMIE'2026: 9th International Conference on Design, Simulation, Manufacturing: The Innovation Exchange",- DSMIE'2026: Website,https://dsmie.sumdu.edu.ua/,600 EUR,31/1/2026 15:32,2/6/2026 15:31,2_Mediocre,Springer.org,Conference,18/6/2022 15:29,
IntSol'2026: V International Scientific Symposium “Intelligent Solutions”,- IntSol'2026: Website,https://intsol.knu.ua/,700 UAH,13/4/2026 11:04,1/5/2026 11:04,2_Mediocre,CEUR.org,Workshop,20/6/2022 11:02,
FedCSIS'2025: 2025 IEEE 19th Conference on Computer Science and Intelligence Systems,"- FedCSIS'2026: Website
",https://2026.fedcsis.org/,300 EUR,15/4/2026 11:28,23/8/2026 11:30,2_Mediocre,IEEE.org,Conference,20/6/2022 11:27,
MEMSTECH'2024: 2025 IEEE 20th International Conference Perspective technologies and methods in MEMS design,- MEMS'2024: Website,https://memstech.ieee.org.ua/,250 EUR,15/3/2024 16:15,16/5/2024 16:15,3_Finished,IEEE.org,Conference,6/8/2022 16:12,
DAO-XAI 2024: Data meets Ontologies in Explainable AI 2024,- DAO-XAI 2024: Website,https://sites.google.com/view/daoxai2024,NaN,30/5/2024 14:48,19/10/2024 14:47,3_Finished,CEUR.org,Workshop,7/3/2025 14:46,
IS'2024: 2024 12th IEEE International Conference on Intelligent Systems,- IS'2024: Website,https://www.ieee-is.org/,400 EUR,30/6/2024 15:04,29/8/2024 15:04,3_Finished,IEEE.org,Conference,23/2/2024 15:03,
ATIT'2024: 2024 IEEE 5th International Conference on Advanced Trends in Information Theory,- ATIT'2024: Website,https://atit.ieee.org.ua/,Free,10/8/2024 22:15,10/8/2024 22:16,3_Finished,IEEE.org,Conference,2/1/2023 22:14,
BAIT-2024: The 1st International Workshop on Bioinformatics and Applied Information Technologies 2024,- BAIT-2024: Website,https://bait.tntu.edu.ua/,Free,16/8/2024 13:19,2/10/2024 13:19,3_Finished,CEUR.org,Workshop,24/11/2024 13:18,
DTER-2024: 1st International Workshop on Digital Technologies for Enhancing Resilience,- DTER-2024: Website,https://science.lpnu.ua/dter-2024,500 EUR,16/8/2024 18:19,28/10/2024 18:19,3_Finished,Elsevier,Conference,9/1/2025 18:18,
CSIT'2024: IEEE 19th International Conference on Computer Science and Information Technologies,"- CSIT'2024: Website
- CSIT'2024: Facebook",https://csit.ieee.org.ua/,Free,25/8/2024 15:52,16/10/2024 17:33,3_Finished,IEEE.org,Conference,13/5/2020 15:51,
