,Model,Metric,Value
0,Модель_1,Precision,1.0
1,Модель_2,Precision,0.9873317498020586
2,Модель_3,Precision,1.0
3,Модель_4,Precision,1.0
4,Модель_5,Precision,0.9818897637795275
5,Модель_1,Recall,0.9695268644747393
6,Модель_2,Recall,1.0
7,Модель_3,Recall,0.8853247794707297
8,Модель_4,Recall,0.9566960705693665
9,Модель_5,Recall,1.0
10,Модель_1,F1-Score,0.9845276872964168
11,Модель_2,F1-Score,0.9936254980079682
12,Модель_3,F1-Score,0.9391748192258613
13,Модель_4,F1-Score,0.9778688524590164
14,Модель_5,F1-Score,0.9908621374652364
15,Модель_1,Accuracy,0.21183450930083386
16,Модель_2,Accuracy,0.21391917896087234
17,Модель_3,Accuracy,0.6574727389352149
18,Модель_4,Accuracy,0.2065426555484285
19,Модель_5,Accuracy,0.6840923669018601
