,Matrix,Emotion,Metrics,Values
0,Модель_1,Злість,Precision,0.9185043144774688
1,Модель_1,Страх,Precision,1.0
2,Модель_1,Радість,Precision,0.9740034662045061
3,Модель_1,Нейтр.,Precision,0.9072847682119205
4,Модель_1,Сум,Precision,1.0
5,Модель_2,Злість,Precision,0.9466403162055336
6,Модель_2,Страх,Precision,1.0
7,Модель_2,Радість,Precision,0.9507125890736342
8,Модель_2,Нейтр.,Precision,0.8755395683453238
9,Модель_2,Сум,Precision,0.9873317498020586
10,Модель_3,Злість,Precision,0.6862464183381088
11,Модель_3,Страх,Precision,0.7802929427430093
12,Модель_3,Радість,Precision,1.0
13,Модель_3,Нейтр.,Precision,0.8480055020632737
14,Модель_3,Сум,Precision,1.0
15,Модель_4,Злість,Precision,0.8829493087557604
16,Модель_4,Страх,Precision,1.0
17,Модель_4,Радість,Precision,0.985198342214328
18,Модель_4,Нейтр.,Precision,0.882605583392985
19,Модель_4,Сум,Precision,1.0
20,Модель_5,Злість,Precision,0.9392156862745098
21,Модель_5,Страх,Precision,1.0
22,Модель_5,Радість,Precision,0.8919071873231466
23,Модель_5,Нейтр.,Precision,0.859375
24,Модель_5,Сум,Precision,0.9818897637795275
25,Модель_1,Злість,Recall,1.0
26,Модель_1,Страх,Recall,0.873046875
27,Модель_1,Радість,Recall,0.9503945885005637
28,Модель_1,Нейтр.,Recall,1.0
29,Модель_1,Сум,Recall,0.9695268644747393
30,Модель_2,Злість,Recall,1.0
31,Модель_2,Страх,Recall,0.8662109375
32,Модель_2,Радість,Recall,0.9024802705749718
33,Модель_2,Нейтр.,Recall,0.9870235198702352
34,Модель_2,Сум,Recall,1.0
35,Модель_3,Злість,Recall,1.0
36,Модель_3,Страх,Recall,0.572265625
37,Модель_3,Радість,Recall,0.863021420518602
38,Модель_3,Нейтр.,Recall,1.0
39,Модель_3,Сум,Recall,0.8853247794707297
40,Модель_4,Злість,Recall,1.0
41,Модель_4,Страх,Recall,0.8515625
42,Модель_4,Радість,Recall,0.9379932356257046
43,Модель_4,Нейтр.,Recall,1.0
44,Модель_4,Сум,Recall,0.9566960705693665
45,Модель_5,Злість,Recall,1.0
46,Модель_5,Страх,Recall,0.7529296875
47,Модель_5,Радість,Recall,0.8883878241262683
48,Модель_5,Нейтр.,Recall,0.981346309813463
49,Модель_5,Сум,Recall,1.0
50,Модель_1,Злість,F1-Score,0.9575212393803098
51,Модель_1,Страх,F1-Score,0.9322210636079249
52,Модель_1,Радість,F1-Score,0.9620542082738943
53,Модель_1,Нейтр.,F1-Score,0.9513888888888888
54,Модель_1,Сум,F1-Score,0.9845276872964168
55,Модель_2,Злість,F1-Score,0.9725888324873095
56,Модель_2,Страх,F1-Score,0.9283097854526426
57,Модель_2,Радість,F1-Score,0.9259687680740312
58,Модель_2,Нейтр.,F1-Score,0.9279451010293557
59,Модель_2,Сум,F1-Score,0.9936254980079682
60,Модель_3,Злість,F1-Score,0.8139337298215803
61,Модель_3,Страх,F1-Score,0.6602816901408451
62,Модель_3,Радість,F1-Score,0.9264750378214825
63,Модель_3,Нейтр.,F1-Score,0.9177521399330107
64,Модель_3,Сум,F1-Score,0.9391748192258613
65,Модель_4,Злість,F1-Score,0.9378365149290259
66,Модель_4,Страх,F1-Score,0.919831223628692
67,Модель_4,Радість,F1-Score,0.9610164597170083
68,Модель_4,Нейтр.,F1-Score,0.9376425855513308
69,Модель_4,Сум,F1-Score,0.9778688524590164
70,Модель_5,Злість,F1-Score,0.9686552072800809
71,Модель_5,Страх,F1-Score,0.8590529247910863
72,Модель_5,Радість,F1-Score,0.8901440271109855
73,Модель_5,Нейтр.,F1-Score,0.9163195759182128
74,Модель_5,Сум,F1-Score,0.9908621374652364
75,Модель_1,Злість,Accuracy,0.21183450930083386
76,Модель_1,Страх,Accuracy,0.21183450930083386
77,Модель_1,Радість,Accuracy,0.21183450930083386
78,Модель_1,Нейтр.,Accuracy,0.21183450930083386
79,Модель_1,Сум,Accuracy,0.21183450930083386
80,Модель_2,Злість,Accuracy,0.21391917896087234
81,Модель_2,Страх,Accuracy,0.21391917896087234
82,Модель_2,Радість,Accuracy,0.21391917896087234
83,Модель_2,Нейтр.,Accuracy,0.21391917896087234
84,Модель_2,Сум,Accuracy,0.21391917896087234
85,Модель_3,Злість,Accuracy,0.6574727389352149
86,Модель_3,Страх,Accuracy,0.6574727389352149
87,Модель_3,Радість,Accuracy,0.6574727389352149
88,Модель_3,Нейтр.,Accuracy,0.6574727389352149
89,Модель_3,Сум,Accuracy,0.6574727389352149
90,Модель_4,Злість,Accuracy,0.2065426555484285
91,Модель_4,Страх,Accuracy,0.2065426555484285
92,Модель_4,Радість,Accuracy,0.2065426555484285
93,Модель_4,Нейтр.,Accuracy,0.2065426555484285
94,Модель_4,Сум,Accuracy,0.2065426555484285
95,Модель_5,Злість,Accuracy,0.6840923669018601
96,Модель_5,Страх,Accuracy,0.6840923669018601
97,Модель_5,Радість,Accuracy,0.6840923669018601
98,Модель_5,Нейтр.,Accuracy,0.6840923669018601
99,Модель_5,Сум,Accuracy,0.6840923669018601
