,Emotion,Precision,Recall,F1-Score,Accuracy,FPR,FNR,Model
0,Злість,0.65,0.5909090909090909,0.6190476190476191,0.6545454545454545,0.07954545454545454,0.4090909090909091,Модель_1
1,Страх,0.6086956521739131,0.6363636363636364,0.6222222222222223,0.6545454545454545,0.10227272727272728,0.36363636363636365,Модель_1
2,Радість,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.6545454545454545,0.045454545454545456,0.09090909090909091,Модель_1
3,Нейтр.,0.5652173913043478,0.5909090909090909,0.5777777777777778,0.6545454545454545,0.11363636363636363,0.4090909090909091,Модель_1
4,Сум,0.6,0.5454545454545454,0.5714285714285713,0.6545454545454545,0.09090909090909091,0.45454545454545453,Модель_1
5,Злість,0.6842105263157895,0.5909090909090909,0.6341463414634148,0.7090909090909091,0.06818181818181818,0.4090909090909091,Модель_2
6,Страх,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7090909090909091,0.06818181818181818,0.2727272727272727,Модель_2
7,Радість,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.7090909090909091,0.022727272727272728,0.09090909090909091,Модель_2
8,Нейтр.,0.5714285714285714,0.7272727272727273,0.64,0.7090909090909091,0.13636363636363635,0.2727272727272727,Модель_2
9,Сум,0.6842105263157895,0.5909090909090909,0.6341463414634148,0.7090909090909091,0.06818181818181818,0.4090909090909091,Модель_2
10,Злість,0.75,0.6818181818181818,0.7142857142857143,0.7272727272727273,0.056818181818181816,0.3181818181818182,Модель_3
11,Страх,0.7083333333333334,0.7727272727272727,0.7391304347826088,0.7272727272727273,0.07954545454545454,0.22727272727272727,Модель_3
12,Радість,0.875,0.9545454545454546,0.9130434782608695,0.7272727272727273,0.03409090909090909,0.045454545454545456,Модель_3
13,Нейтр.,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.7272727272727273,0.10227272727272728,0.4090909090909091,Модель_3
14,Сум,0.7,0.6363636363636364,0.6666666666666666,0.7272727272727273,0.06818181818181818,0.36363636363636365,Модель_3
15,Злість,0.7142857142857143,0.6818181818181818,0.6976744186046512,0.7363636363636363,0.06818181818181818,0.3181818181818182,Модель_4
16,Страх,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.7363636363636363,0.056818181818181816,0.22727272727272727,Модель_4
17,Радість,1.0,0.8636363636363636,0.9268292682926829,0.7363636363636363,0.0,0.13636363636363635,Модель_4
18,Нейтр.,0.6521739130434783,0.6818181818181818,0.6666666666666666,0.7363636363636363,0.09090909090909091,0.3181818181818182,Модель_4
19,Сум,0.6,0.6818181818181818,0.6382978723404256,0.7363636363636363,0.11363636363636363,0.3181818181818182,Модель_4
20,Злість,0.7,0.6363636363636364,0.6666666666666666,0.7454545454545455,0.06818181818181818,0.36363636363636365,Модель_5
21,Страх,0.782608695652174,0.8181818181818182,0.8,0.7454545454545455,0.056818181818181816,0.18181818181818182,Модель_5
22,Радість,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.7454545454545455,0.022727272727272728,0.09090909090909091,Модель_5
23,Нейтр.,0.625,0.6818181818181818,0.6521739130434783,0.7454545454545455,0.10227272727272728,0.3181818181818182,Модель_5
24,Сум,0.7142857142857143,0.6818181818181818,0.6976744186046512,0.7454545454545455,0.06818181818181818,0.3181818181818182,Модель_5
