,Emotion,Precision,Recall,F1-Score,Accuracy,FPR,FNR,Model
0,Злість,0.8125643666323378,0.8235908141962421,0.8180404354587869,0.7915330339961514,0.034482758620689655,0.17640918580375783,Модель_1
1,Страх,0.753968253968254,0.7421875,0.7480314960629921,0.7915330339961514,0.047582501918649274,0.2578125,Модель_1
2,Радість,0.8726937269372693,0.7998872604284104,0.8347058823529411,0.7915330339961514,0.04639175257731959,0.20011273957158962,Модель_1
3,Нейтр.,0.7417876241405653,0.7875101378751014,0.7639653815892998,0.7915330339961514,0.06755946432140715,0.21248986212489862,Модель_1
4,Сум,0.754160363086233,0.7995188452285485,0.7761775009731413,0.7915330339961514,0.06514331529364602,0.20048115477145148,Модель_1
5,Злість,0.7130350194552529,0.7651356993736952,0.7381671701913394,0.77325208466966,0.05589238347859037,0.2348643006263048,Модель_2
6,Страх,0.7509469696969697,0.7744140625,0.7625000000000001,0.77325208466966,0.05046047582501919,0.2255859375,Модель_2
7,Радість,0.8891537544696066,0.8410372040586246,0.8644264194669756,0.77325208466966,0.04168534289556253,0.1589627959413754,Модель_2
8,Нейтр.,0.7246256239600666,0.7064071370640713,0.7154004106776181,0.77325208466966,0.06616030381770938,0.2935928629359286,Модель_2
9,Сум,0.7334905660377359,0.748195669607057,0.7407701468836839,0.77325208466966,0.06794948887552615,0.2518043303929431,Модель_2
10,Злість,0.670753064798599,0.7995824634655533,0.7295238095238095,0.7859204618345093,0.07123910572186434,0.20041753653444677,Модель_3
11,Страх,0.7725788900979326,0.693359375,0.7308286155429747,0.7859204618345093,0.04009976976208749,0.306640625,Модель_3
12,Радість,0.9229828850855746,0.8511837655016911,0.8856304985337244,0.7859204618345093,0.02823845809054236,0.1488162344983089,Модель_3
13,Нейтр.,0.7634408602150538,0.8061638280616383,0.7842209072978304,0.7859204618345093,0.06156306216270238,0.19383617193836172,Модель_3
14,Сум,0.7445432497978981,0.7385725741780272,0.7415458937198066,0.7859204618345093,0.06333934656243737,0.26142742582197276,Модель_3
15,Злість,0.7741251325556734,0.7620041753653445,0.7680168332456602,0.8022771007055804,0.04035619552860932,0.23799582463465555,Модель_4
16,Страх,0.7582417582417582,0.80859375,0.7826086956521738,0.8022771007055804,0.05065234075211052,0.19140625,Модель_4
17,Радість,0.9005266237565828,0.8675310033821871,0.883720930232558,0.8022771007055804,0.03809950694755715,0.13246899661781286,Модель_4
18,Нейтр.,0.7581863979848866,0.732360097323601,0.7450495049504949,0.8022771007055804,0.05756546072356586,0.26763990267639903,Модель_4
19,Сум,0.7709454265949269,0.8043303929430633,0.7872841444270015,0.8022771007055804,0.05973140910002005,0.19566960705693665,Модель_4
20,Злість,0.7887473460721869,0.7755741127348643,0.7821052631578949,0.8242463117382938,0.03770367563471012,0.2244258872651357,Модель_5
21,Страх,0.8015340364333653,0.81640625,0.8089017900338654,0.8242463117382938,0.039716039907904836,0.18359375,Модель_5
22,Радість,0.9213947990543735,0.87880496054115,0.8995960761684939,0.8242463117382938,0.029807261317794712,0.12119503945885006,Модель_5
23,Нейтр.,0.7709923664122137,0.819140308191403,0.794337396775462,0.8242463117382938,0.05996402158704777,0.18085969180859693,Модель_5
24,Сум,0.7942353883106485,0.7955092221331195,0.7948717948717948,0.8242463117382938,0.05151332932451393,0.20449077786688052,Модель_5
